Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0000274	4	2	2	1	2	3	6	20
OG0000275	8	9	2	1	0	0	0	20
OG0000276	2	1	2	0	6	3	6	20
OG0000277	3	3	3	3	4	1	3	20
OG0000278	9	1	1	1	1	1	6	20
OG0000279	3	3	1	3	4	4	2	20
OG0000280	5	0	7	7	0	0	1	20
OG0000281	3	3	2	2	2	5	3	20
OG0000282	5	2	3	3	1	2	4	20
OG0000283	4	3	2	3	2	3	3	20
OG0000284	6	2	1	2	2	2	5	20
OG0000285	8	3	1	3	2	1	2	20
OG0000286	5	2	2	2	4	2	3	20
OG0000287	2	4	1	1	6	1	5	20
OG0000288	2	1	2	1	5	2	7	20
OG0000289	5	5	2	8	0	0	0	20
OG0000290	3	6	4	6	0	1	0	20
OG0000291	5	2	2	2	3	4	2	20
OG0000292	2	0	1	1	2	1	13	20
OG0000293	3	4	1	2	2	2	6	20
OG0000294	4	1	1	1	5	1	7	20
OG0000295	2	1	5	8	3	1	0	20
OG0000296	0	1	3	1	1	14	0	20
OG0000297	0	0	20	0	0	0	0	20
OG0000298	0	0	0	20	0	0	0	20
OG0000299	0	0	0	1	2	2	15	20
OG0000300	0	0	0	0	10	0	10	20
OG0000301	0	0	0	0	3	0	17	20
OG0000302	0	0	0	0	2	2	16	20
OG0000303	0	0	0	0	0	0	20	20
OG0000304	0	0	0	0	0	0	20	20
OG0000305	0	0	0	0	0	0	20	20
OG0000306	0	0	0	0	0	0	20	20
OG0000307	0	0	0	0	0	0	20	20
OG0000308	4	1	2	1	5	1	5	19
OG0000309	4	1	1	1	3	4	5	19
OG0000310	4	1	3	2	2	1	6	19
OG0000311	4	2	1	2	5	1	4	19
OG0000312	6	2	2	3	4	1	1	19
OG0000313	9	3	2	3	1	1	0	19
OG0000314	6	3	1	2	3	1	3	19
OG0000315	10	1	2	2	0	0	4	19
OG0000316	6	1	4	1	4	1	2	19
OG0000317	2	2	10	5	0	0	0	19
OG0000318	5	3	1	1	2	3	4	19
OG0000319	4	2	2	3	2	2	4	19
OG0000320	3	2	2	3	4	2	3	19
OG0000321	4	2	2	2	4	2	3	19
OG0000322	4	2	2	2	2	2	5	19
OG0000323	16	1	1	1	0	0	0	19
OG0000324	5	4	1	0	7	0	2	19
OG0000325	4	4	4	3	2	1	1	19
OG0000326	3	3	4	2	0	6	1	19
OG0000327	2	1	3	1	6	2	4	19
OG0000328	19	0	0	0	0	0	0	19
OG0000329	4	1	1	1	9	1	2	19
OG0000330	7	2	1	2	3	1	3	19
OG0000331	4	2	0	3	3	0	7	19
OG0000332	3	1	1	1	6	1	6	19
OG0000333	2	1	1	1	5	1	8	19
OG0000334	0	19	0	0	0	0	0	19
OG0000335	0	19	0	0	0	0	0	19
OG0000336	0	1	16	1	0	1	0	19
OG0000337	0	0	0	19	0	0	0	19
OG0000338	0	0	0	0	6	0	13	19
OG0000339	0	0	0	0	8	0	11	19
OG0000340	0	0	0	0	1	0	18	19
OG0000341	0	0	0	0	0	19	0	19
OG0000342	0	0	0	0	0	0	19	19
OG0000343	0	0	0	0	0	0	19	19
OG0000344	5	2	2	2	3	2	2	18
OG0000345	5	1	1	2	2	2	5	18
OG0000346	4	2	1	4	3	1	3	18
OG0000347	6	2	2	2	2	2	2	18
OG0000348	5	2	2	2	2	2	3	18
OG0000349	4	2	1	2	2	1	6	18
OG0000350	4	1	1	1	5	2	4	18
OG0000351	17	0	0	1	0	0	0	18
OG0000352	2	2	2	10	0	2	0	18
OG0000353	8	1	5	3	0	1	0	18
OG0000354	4	2	3	2	3	2	2	18
OG0000355	8	2	3	2	1	1	1	18
OG0000356	2	4	1	1	2	1	7	18
OG0000357	4	2	2	2	2	2	4	18
OG0000358	2	1	1	1	4	2	7	18
OG0000359	10	1	3	4	0	0	0	18
OG0000360	4	1	2	1	3	3	4	18
OG0000361	3	3	1	2	3	1	5	18
OG0000362	2	2	1	2	1	1	9	18
OG0000363	3	1	5	1	2	2	4	18
OG0000364	4	2	3	1	3	0	5	18
OG0000365	4	2	2	1	5	2	2	18
OG0000366	14	1	1	1	0	0	1	18
OG0000367	4	3	3	3	0	3	2	18
OG0000368	8	2	1	1	1	3	2	18
OG0000369	3	0	0	0	5	1	9	18
OG0000370	4	2	1	2	3	3	3	18
OG0000371	5	1	1	1	3	2	5	18
OG0000372	3	1	1	10	1	1	1	18
OG0000373	0	0	0	18	0	0	0	18
OG0000374	0	0	0	0	1	0	17	18
OG0000375	0	0	0	0	0	18	0	18
OG0000376	0	0	0	0	0	0	18	18
OG0000377	0	0	0	0	0	0	18	18
OG0000378	0	0	0	0	0	0	18	18
OG0000379	6	1	1	1	4	1	3	17
OG0000380	10	3	1	1	0	0	2	17
OG0000381	8	1	1	4	0	0	3	17
OG0000382	3	3	2	3	3	2	1	17
OG0000383	4	1	1	1	6	2	2	17
OG0000384	4	3	2	2	2	2	2	17
OG0000385	6	1	2	3	1	1	3	17
OG0000386	4	1	2	1	5	1	3	17
OG0000387	1	1	1	2	1	2	9	17
OG0000388	8	1	1	2	3	1	1	17
OG0000389	7	2	4	3	0	1	0	17
OG0000390	3	0	1	4	0	6	3	17
OG0000391	17	0	0	0	0	0	0	17
OG0000392	10	1	1	1	2	1	1	17
OG0000393	8	2	3	3	0	1	0	17
OG0000394	6	1	1	1	4	2	2	17
OG0000395	4	1	2	1	1	2	6	17
OG0000396	2	3	5	2	0	5	0	17
OG0000397	6	2	2	3	2	1	1	17
OG0000398	5	0	0	12	0	0	0	17
OG0000399	11	1	1	4	0	0	0	17
OG0000400	3	4	2	2	2	2	2	17
OG0000401	4	1	1	1	3	1	6	17
OG0000402	1	3	1	2	2	7	1	17
OG0000403	4	1	1	2	2	1	6	17
OG0000404	2	1	2	1	4	1	6	17
OG0000405	2	0	11	4	0	0	0	17
OG0000406	3	1	1	1	5	2	4	17
OG0000407	4	4	2	5	0	1	1	17
OG0000408	4	2	2	3	2	2	2	17
OG0000409	1	2	3	2	3	1	5	17
OG0000410	4	2	3	3	0	4	1	17
OG0000411	3	2	2	1	3	1	5	17
OG0000412	17	0	0	0	0	0	0	17
OG0000413	3	2	1	3	2	1	5	17
OG0000414	4	13	0	0	0	0	0	17
OG0000415	8	1	3	3	0	2	0	17
OG0000416	2	2	1	1	5	0	6	17
OG0000417	2	1	1	1	4	1	7	17
OG0000418	3	2	2	2	4	2	2	17
OG0000419	5	1	1	2	1	2	5	17
OG0000420	2	2	2	3	2	2	4	17
OG0000421	0	17	0	0	0	0	0	17
OG0000422	0	0	17	0	0	0	0	17
OG0000423	0	0	17	0	0	0	0	17
OG0000424	0	0	17	0	0	0	0	17
OG0000425	0	0	16	1	0	0	0	17
OG0000426	0	0	17	0	0	0	0	17
OG0000427	0	0	0	17	0	0	0	17
OG0000428	0	0	0	17	0	0	0	17
OG0000429	0	0	0	0	16	0	1	17
OG0000430	0	0	0	0	5	3	9	17
OG0000431	0	0	0	0	7	0	10	17
OG0000432	0	0	0	0	9	0	8	17
OG0000433	0	0	0	0	0	17	0	17
OG0000434	0	0	0	0	0	0	17	17
OG0000435	0	0	0	0	0	0	17	17
OG0000436	0	0	0	0	0	0	17	17
OG0000437	0	0	0	0	0	0	17	17
OG0000438	5	5	2	2	0	2	0	16
OG0000439	4	7	2	3	0	0	0	16
OG0000440	2	1	1	2	5	2	3	16
OG0000441	4	2	2	2	2	2	2	16
OG0000442	4	2	2	2	1	3	2	16
OG0000443	6	3	2	3	0	0	2	16
OG0000444	3	1	1	4	3	1	3	16
OG0000445	3	6	2	1	1	2	1	16
OG0000446	9	2	2	2	0	1	0	16
OG0000447	4	3	2	4	0	3	0	16
OG0000448	4	2	2	3	1	1	3	16
OG0000449	2	1	4	2	2	1	4	16
OG0000450	8	3	1	1	0	1	2	16
OG0000451	15	0	0	0	0	0	1	16
OG0000452	5	2	1	3	2	1	2	16
OG0000453	7	1	1	1	1	1	4	16
OG0000454	6	2	2	2	2	1	1	16
OG0000455	2	0	1	1	3	1	8	16
OG0000456	4	3	3	2	0	1	3	16
OG0000457	3	4	3	1	0	1	4	16
OG0000458	2	1	1	1	1	7	3	16
OG0000459	5	1	2	1	2	2	3	16
OG0000460	4	1	1	1	3	2	4	16
OG0000461	2	4	2	2	0	6	0	16
OG0000462	4	2	2	1	1	3	3	16
OG0000463	2	4	1	2	1	2	4	16
OG0000464	3	2	1	1	2	2	5	16
OG0000465	4	1	1	3	1	3	3	16
OG0000466	3	3	2	4	0	1	3	16
OG0000467	6	1	1	1	3	1	3	16
OG0000468	4	1	1	1	3	1	5	16
OG0000469	4	1	1	1	2	5	2	16
OG0000470	4	2	1	1	3	3	2	16
OG0000471	4	2	2	2	4	1	1	16
OG0000472	1	1	1	2	4	1	6	16
OG0000473	3	2	2	2	2	1	4	16
OG0000474	4	1	1	1	2	2	5	16
OG0000475	1	1	2	1	5	2	4	16
OG0000476	1	0	0	0	1	0	14	16
OG0000477	0	16	0	0	0	0	0	16
OG0000478	0	12	0	4	0	0	0	16
OG0000479	0	1	0	0	10	0	5	16
OG0000480	0	0	16	0	0	0	0	16
OG0000481	0	0	0	0	16	0	0	16
OG0000482	0	0	0	0	7	4	5	16
OG0000483	0	0	0	0	16	0	0	16
OG0000484	0	0	0	0	5	4	7	16
